county_id,site_id,county,is_changed,site,street,city,zip,lat,lng
41,129,GUILFORD,1,JAMESTOWN TOWN HALL,301 E MAIN ST,JAMESTOWN,27282,35.997311,-79.935079
41,130,GUILFORD,1,LEONARD RECREATION CENTER,6324 BALLINGER RD,GREENSBORO,27410,36.103823,-79.910094
41,131,GUILFORD,1,WASHINGTON TERRACE PARK,101 GORDON ST,HIGH POINT,27260,35.968293,-79.983864
42,132,HALIFAX,1,AGRICULTURE BUILDING,359 FERRELL LN,HALIFAX,27839,36.321678,-77.590744
43,133,HARNETT,1,ERWIN COMMUNITY BUILDING,110 W F ST,ERWIN,28339,35.326352,-78.677147
43,134,HARNETT,1,HARNETT COUNTY BOARD OF ELECTIONS OFFICE,308 W DUNCAN ST,LILLINGTON,27546,35.406023,-78.81963
43,135,HARNETT,1,WESTERN HARNETT HIGH SCHOOL,10637 NC 27 W,LILLINGTON,27546,35.335675,-78.979966
44,136,HAYWOOD,0,CLYDE MUNICIPAL BUILDING,8437 CAROLINA BLVD,CLYDE,28721,35.532555,-82.911369
44,137,HAYWOOD,0,HAYWOOD COUNTY SENIOR RESOURCE CENTER,81 ELMWOOD WAY,WAYNESVILLE,28786,35.518414,-82.98872
44,138,HAYWOOD,0,LIBRARY,11 PENNSYLVANIA AVE,CANTON,28716,35.529145,-82.835705
45,139,HENDERSON,1,HENDERSON COUNTY BOARD OF ELECTIONS OFFICE,75 E CENTRAL ST,HENDERSONVILLE,28792,35.306081,-82.443877
46,140,HERTFORD,0,HERTFORD COUNTY COOPERATIVE EXTENSION BLDG,301 W TRYON ST,WINTON,27986,36.396713,-76.934649
47,141,HOKE,0,HOKE COUNTY BOARD OF ELECTIONS OFFICE,227 N MAIN ST,RAEFORD,28376,34.98046,-79.22454
47,142,HOKE,0,ROCKFISH COMMUNITY CENTER,2749 LINDSAY RD,RAEFORD,28376,35.000727,-79.067279
48,143,HYDE,1,HYDE COUNTY BOARD OF ELECTIONS OFFICE,1223 MAIN ST,SWAN QUARTER,27885,35.420817,-76.318641
48,144,HYDE,1,OCRACOKE VOLUNTEER FIRE DEPARTMENT,822 IRVIN GARRISH HWY,OCRACOKE,27960,35.108759,-75.976576
49,145,IREDELL,1,IREDELL COUNTY BOARD OF ELECTIONS OFFICE,203 STOCKTON ST,STATESVILLE,28677,35.789038,-80.8875
49,146,IREDELL,1,PENINSULA BAPTIST CHURCH,687 BRAWLEY SCHOOL RD,MOORESVILLE,28117,35.58045,-80.878682
49,147,IREDELL,1,WAR MEMORIAL RECREATION BUILDING,220 N MAPLE ST,MOORESVILLE,28115,35.582251,-80.807283
50,148,JACKSON,1,CASHIERS RECREATION CENTER,355 FRANK ALLEN RD,CASHIERS,28717,35.110803,-83.104098
50,149,JACKSON,1,CULLOWHEE RECREATION CENTER,88 CULLOWHEE MOUNTAIN RD,CULLOWHEE,28723,35.290716,-83.181022
50,150,JACKSON,1,JACKSON COUNTY BOARD OF ELECTIONS OFFICE,876 SKYLAND DR # 1,SYLVA,28779,35.387692,-83.209187
50,151,JACKSON,1,WESTERN CAROLINA UNIVERSITY,245 MEMORIAL DR,CULLOWHEE,28723,35.311281,-83.182863
50,152,JACKSON,1,WOLFTOWN COMMUNITY GYM,27 BIA HWY 422,WHITTIER,28789,35.463253,-83.256825
51,153,JOHNSTON,1,FIRST BAPTIST CHURCH MINISTRY CENTER,125 S FOURTH ST,SMITHFIELD,27577,35.508892,-78.34502
51,154,JOHNSTON,1,JCC CLEVELAND CAMPUS,9046 CLEVELAND RD,CLAYTON,27520,35.567181,-78.530104
51,155,JOHNSTON,1,THE CHURCH AT CLAYTON CROSSINGS,11407 US 70 HWY W,CLAYTON,27520,35.650769,-78.47168
52,156,JONES,0,JONES COUNTY BOARD OF ELECTIONS OFFICE,367 NC HWY 58 S # B,TRENTON,28585,35.056414,-77.356784
53,157,LEE,0,LEE COUNTY BOARD OF ELECTIONS OFFICE,225 S STEELE ST,SANFORD,27330,35.479006,-79.177405
53,158,LEE,0,MCSWAIN CENTER,2420 TRAMWAY RD,SANFORD,27330,35.438286,-79.191635
54,159,LENOIR,1,CARVER COURT,301 E BRIGHT ST,KINSTON,28501,35.257107,-77.577143
54,160,LENOIR,1,JACKSON HEIGHTS FWB CHURCH,285 CAMELLIA ST,KINSTON,28504,35.225597,-77.633358
54,161,LENOIR,1,LAGRANGE COMMUNITY BUILDING,410 E WASHINGTON ST,LA GRANGE,28551,35.301735,-77.781825
54,162,LENOIR,1,PINK HILL #2,303 CENTRAL AVE,PINK HILL,28572,35.052309,-77.744538
54,163,LENOIR,1,TANGLEWOOD CHURCH OF GOD,2103 ROUSE RD,KINSTON,28504,35.289733,-77.618593
54,164,LENOIR,1,TEACHERS MEMORIAL GYM,500 MARCELLA DR,KINSTON,28501,35.287202,-77.574777
55,165,LINCOLN,1,EAST LINCOLN COMMUNITY/RECREATION CENTER,8160 OPTIMIST CLUB RD,DENVER,28037,35.47409,-81.001731
55,166,LINCOLN,1,LINCOLN COUNTY BOARD OF ELECTIONS OFFICE,115 W MAIN ST,LINCOLNTON,28092,35.470573,-81.257968
55,167,LINCOLN,1,NORTH  BROOK COMMUNITY CENTER,568 HWY 274,VALE,28168,35.496981,-81.454033
